DDT,M,S,run,event_index,n_kind_tasks,n_vars,solve_time_ms
0.5,20,5,4,2,39,403,2.8177
0.5,20,5,4,3,39,403,2.9999
0.5,20,5,4,4,39,403,3.0627
0.5,20,5,5,0,39,403,2.8569
0.5,20,5,5,1,39,403,3.0584
0.5,20,5,5,2,39,403,3.1435
0.5,20,5,5,3,39,403,6.9967
0.5,20,5,5,4,39,403,2.9797
0.5,20,5,6,0,39,403,2.8369
0.5,20,5,6,1,39,403,3.0219
0.5,20,5,6,2,39,403,3.0259
0.5,20,5,6,3,39,403,3.0692
0.5,20,5,6,4,39,403,3.3028
0.5,20,5,7,0,39,403,4.158
0.5,20,5,7,1,39,403,2.9522
0.5,20,5,7,2,39,403,2.9508
0.5,20,5,7,3,39,403,3.0622
0.5,20,5,7,4,39,403,2.975
0.5,20,5,8,0,39,403,2.857
0.5,20,5,8,1,39,403,65.0625
0.5,20,5,8,2,39,403,3.2401
0.5,20,5,8,3,39,403,3.0118
0.5,20,5,8,4,39,403,3.0291
0.5,20,5,9,0,39,403,2.9735
0.5,20,5,9,1,39,403,3.1071
0.5,20,5,9,2,39,403,3.3517
0.5,20,5,9,3,39,403,3.0147
0.5,20,5,9,4,39,403,3.3042
1.0,10,1,0,0,93,507,5.2987
1.0,10,1,1,0,93,507,6.2965
1.0,10,1,2,0,93,507,5.314
1.0,10,1,3,0,93,507,5.234
1.0,10,1,4,0,93,507,6.4833
1.0,10,1,5,0,93,507,5.9469
1.0,10,1,6,0,93,507,5.3528
1.0,10,1,7,0,93,507,5.5633
1.0,10,1,8,0,93,507,5.2265
1.0,10,1,9,0,93,507,5.3397
1.0,10,3,0,0,83,497,4.9903
1.0,10,3,0,1,83,497,5.3235
1.0,10,3,0,2,83,497,4.9672
1.0,10,3,1,0,83,497,5.0012
1.0,10,3,1,1,83,497,5.0448
1.0,10,3,1,2,83,497,4.8
1.0,10,3,2,0,83,497,4.8889
1.0,10,3,2,1,83,497,4.8062
1.0,10,3,2,2,83,497,4.7057
1.0,10,3,3,0,83,497,4.9006
1.0,10,3,3,1,83,497,5.2462
1.0,10,3,3,2,83,497,4.9017
1.0,10,3,4,0,83,497,4.8019
1.0,10,3,4,1,83,497,5.2404
1.0,10,3,4,2,83,497,4.5823
1.0,10,3,5,0,83,497,4.7913
1.0,10,3,5,1,83,497,4.6605
1.0,10,3,5,2,83,497,4.6809
1.0,10,3,6,0,83,497,4.9871
1.0,10,3,6,1,83,497,4.4572
1.0,10,3,6,2,83,497,5.2316
1.0,10,3,7,0,83,497,5.0203
1.0,10,3,7,1,83,497,5.0259
1.0,10,3,7,2,83,497,4.8494
1.0,10,3,8,0,83,497,4.7902
1.0,10,3,8,1,83,497,4.7769
1.0,10,3,8,2,83,497,11.051
1.0,10,3,9,0,83,497,4.8235
1.0,10,3,9,1,83,497,4.8547
1.0,10,3,9,2,83,497,4.7487
1.0,10,5,0,0,36,178,2.0137
1.0,10,5,0,1,36,178,2.1191
1.0,10,5,0,2,36,178,2.3873
1.0,10,5,0,3,36,178,1.8702
1.0,10,5,0,4,36,178,2.4166
1.0,10,5,1,0,36,178,1.9681
1.0,10,5,1,1,36,178,52.2235
1.0,10,5,1,2,36,178,2.0831
1.0,10,5,1,3,36,178,2.0601
1.0,10,5,1,4,36,178,1.9726
1.0,10,5,2,0,36,178,1.9357
1.0,10,5,2,1,36,178,1.9302
1.0,10,5,2,2,36,178,1.94
1.0,10,5,2,3,36,178,1.8651
1.0,10,5,2,4,36,178,2.0383
1.0,10,5,3,0,36,178,1.9512
1.0,10,5,3,1,36,178,1.8756
1.0,10,5,3,2,36,178,2.0643
1.0,10,5,3,3,36,178,2.027
1.0,10,5,3,4,36,178,1.9149
1.0,10,5,4,0,36,178,2.1191
1.0,10,5,4,1,36,178,2.0508
1.0,10,5,4,2,36,178,1.9298
1.0,10,5,4,3,36,178,1.8755
1.0,10,5,4,4,36,178,2.2295
1.0,10,5,5,0,36,178,1.9506
1.0,10,5,5,1,36,178,1.895
1.0,10,5,5,2,36,178,1.97
1.0,10,5,5,3,36,178,2.2035
1.0,10,5,5,4,36,178,1.9651
1.0,10,5,6,0,36,178,1.9557
1.0,10,5,6,1,36,178,2.0606
1.0,10,5,6,2,36,178,2.0366
1.0,10,5,6,3,36,178,2.0408
1.0,10,5,6,4,36,178,2.2115
1.0,10,5,7,0,36,178,1.9414
1.0,10,5,7,1,36,178,2.0196
1.0,10,5,7,2,36,178,2.1045
1.0,10,5,7,3,36,178,1.9552
1.0,10,5,7,4,36,178,2.0497
1.0,10,5,8,0,36,178,1.945
1.0,10,5,8,1,36,178,2.039
1.0,10,5,8,2,36,178,2.119
1.0,10,5,8,3,36,178,1.8783
1.0,10,5,8,4,36,178,2.0668
1.0,10,5,9,0,36,178,1.9514
1.0,10,5,9,1,36,178,2.1978
1.0,10,5,9,2,36,178,1.8689
1.0,10,5,9,3,36,178,2.1345
1.0,10,5,9,4,36,178,2.2245
1.0,15,1,0,0,58,426,4.132
1.0,15,1,1,0,58,426,3.8279
1.0,15,1,2,0,58,426,3.8559
1.0,15,1,3,0,58,426,3.8383
1.0,15,1,4,0,58,426,3.8326
1.0,15,1,5,0,58,426,4.8858
